moderator,avg_requests_per_active_day,team
102,60.04545454545455,wholesale
103,32.825,wholesale
109,29.535714285714285,retail
110,1.0,retail
111,18.35483870967742,retail
112,47.69444444444444,wholesale
114,10.0,retail
116,22.307692307692307,wholesale
117,46.333333333333336,retail
121,22.82857142857143,retail
122,22.558823529411764,wholesale
123,39.24324324324324,wholesale
125,31.833333333333332,wholesale
126,2.0,wholesale
128,14.8125,wholesale
129,1.0,wholesale
133,2.0,retail
134,2.6666666666666665,retail
135,26.78125,retail
136,21.34285714285714,retail
138,1.0,retail
141,19.27027027027027,retail
143,11.75,wholesale
144,10.166666666666666,wholesale
146,29.322580645161292,wholesale
148,28.5,retail
149,24.225806451612904,wholesale
150,4.0,retail
152,17.035714285714285,retail
153,26.1875,wholesale
156,20.77777777777778,retail
161,13.923076923076923,wholesale
163,13.0,wholesale
164,18.823529411764707,retail
165,26.846153846153847,retail
167,17.866666666666667,retail
170,41.1219512195122,wholesale
171,1.0,wholesale
172,27.823529411764707,retail
173,18.029411764705884,retail
175,14.482758620689655,wholesale
176,24.333333333333332,retail
178,19.09090909090909,retail
180,40.878787878787875,wholesale
181,40.625,wholesale
185,25.0,wholesale
186,49.7037037037037,retail
187,33.138888888888886,wholesale
188,98.57894736842105,wholesale
